,formula,bec_odd,coord_env,sym,spgnum,Eg,volume,eng/atom,Gvoigt,kvoigt,poisson,cauchy,sxx,syy,szz,sxy,syz,sxz,exx,eyy,ezz,odd_atom,atcharge,zxx,zyy,zzz,a,b,c,a^-2,b^-2,c^-2,alpha,beta,gamma,E_p,E_a,E_g,group,period,E_aff,block,R_vdw,R_at,atmass,atnum
mp-567666,Ba3BiN,False,O:6,hexagonal,194,0.6465000000000001,356.70237062654985,-4.376573899,16.0,25.0,0.29,7.0,52.0,52.0,71.0,5.0,5.0,20.0,46.03094496678024,46.03095603311614,90.98446600000004,9,7,-4.3797052405366514,-4.3797052405366514,-5.527071550810141,7.579315642890024,7.579315642890024,6.653342787306765,0.0174076446421141,0.0174076446421141,0.02259020652319791,90.0,90.0,120.00000000027933,3.04,18.13,0.26493,15,2,-1.4,p,155.0,92.0,14.007,7
mp-966800,InP,False,T:4,hexagonal,186,0.5146000000000006,105.96826762607168,-4.28473684,32.0,58.0,0.27,14.0,102.0,102.0,120.0,26.0,26.0,31.0,,,,3,15,-2.4021859638033645,-2.4021859638033662,-2.5644608945602942,4.1511708263379665,4.1511708263379665,6.814161846802158,0.058030830892146786,0.058030830892146786,0.02153649928367404,90.0,90.0,119.99999999974038,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-1598,Na3P,False,H:11,hexagonal,194,0.40460000000000007,189.4750374162815,-2.67743722375,15.0,26.0,0.27,11.0,49.0,49.0,60.0,10.0,10.0,14.0,18.502999523834156,18.50300047608986,14.436999999999998,7,15,-2.8406811367697875,-2.8406811367697875,-2.740420719017279,4.926111505661848,4.926111505661848,8.773226511055071,0.0412089476111014,0.0412089476111014,0.012992158655586153,90.0,90.0,119.9999999997697,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-1018100,AlSb,False,T:4,hexagonal,186,0.9143999999999997,121.08216898600315,-4.0915464575,29.0,49.0,0.26,9.0,91.0,91.0,104.0,23.0,23.0,29.0,12.58980461629669,12.587637657652486,13.311246999999998,3,51,-1.7695903680574854,-1.769590368057489,-1.8911075808613815,4.340782488703525,4.340782488703525,7.148370560325124,0.05307181632785392,0.05307181632785392,0.019569777361740176,90.0,90.0,120.00000000026536,2.05,11.74,0.19187739999999998,15,5,1.046,p,206.0,159.0,121.76,51
mp-541044,CsYO2,False,O:6,hexagonal,194,2.8477,151.5963670308569,-6.91900110875,,,,,,,,,,,22.643330752029883,22.643330247968933,17.035561999999995,7,8,-2.641130182499761,-2.6411301824997646,-2.4392086198703877,3.501737650558839,3.501737650558839,13.476095412254654,0.08155165679889377,0.08155165679889377,0.0055064518458572955,90.0,90.0,119.99999999960362,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-7140,SiC,False,T:4,hexagonal,186,2.301499999999999,42.005508719514054,-7.526779855,188.0,212.0,0.16,-52.0,494.0,494.0,532.0,151.0,151.0,197.0,10.193998517888893,10.194001482112245,11.339,3,6,-2.6676137130817015,-2.667613713081701,-2.864784209916133,3.0765441055714082,3.0765441055714082,5.048941053925712,0.1056510235595788,0.1056510235595788,0.039228291992288576,90.0,90.0,120.00000000024552,2.55,15.05,0.22477600000000003,14,2,1.262119,p,170.0,91.0,12.011,6
mp-642725,CaHClO,False,S:1,hexagonal,186,5.3271,130.1923891792752,-5.1771753425,,,,,,,,,,,8.113478246301495,8.113478753698239,6.725974,7,8,-1.719860588142738,-1.7198605881427393,-1.417828856579169,3.8254464086472226,3.8254464086472226,9.732312394127627,0.06833382883984004,0.06833382883984004,0.010557665996617624,90.0,90.0,119.99999999962915,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-3744,NaNbO2,False,O:6,hexagonal,194,1.4288999999999996,91.93153845535183,-7.0146728325,101.0,149.0,0.23,34.0,349.0,349.0,242.0,69.0,69.0,123.0,13.811725206660972,13.811730793340962,5.962293000000001,7,8,-1.7241819612405103,-1.724181961240514,-1.3917933845669153,2.9456623357933243,2.9456623357933243,11.505246831856429,0.11524818020266034,0.11524818020266034,0.007554541637848572,90.0,90.0,119.9999999991178,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-1039,MgTe,False,T:4,hexagonal,186,2.3611999999999997,138.261815508557,-3.2476044475,12.0,35.0,0.34,16.0,52.0,52.0,56.0,11.0,11.0,12.0,7.8335001565899525,7.833499843390309,8.331999999999999,3,52,-1.8897554392925613,-1.889755439292567,-1.9784745194481763,4.560803181157118,4.560803181157118,7.4155917537018405,0.048074783616724244,0.048074783616724244,0.01818479352563682,90.0,90.0,119.99999999926136,2.1,12.76,0.20569920000000003,16,5,1.9708759999999999,p,206.0,160.0,127.6,52
mp-6867,KCaCO3F,False,T:5,hexagonal,187,4.3468,104.10098129353196,-6.58874318,29.0,50.0,0.25,1.0,89.0,89.0,101.0,26.0,26.0,31.0,10.598207040063992,10.598204960092653,5.081827000000002,6,9,-0.9394706107905365,-0.9394706107905372,-1.7678989766053217,5.068749308157845,5.068749308157845,4.430782869592525,0.038922289220467275,0.038922289220467275,0.050937668659263344,90.0,90.0,120.00000000015314,3.98,24.8,0.344443,17,2,3.4011897000000006,p,147.0,,18.998403163,9
mp-15668,NaSe,False,FO:7,hexagonal,194,0.4799,208.65409966895035,-3.23208510125,12.0,24.0,0.26,8.0,50.0,50.0,18.0,12.0,12.0,15.0,8.558999233089912,8.559000766666134,13.790999999999999,7,34,-1.1340860212192436,-1.1340860212192463,-1.0085008586869655,4.660068335334788,4.660068335334788,10.5334458321983,0.046048493809760754,0.046048493809760754,0.009012786170269156,90.0,90.0,120.0000000007582,2.55,14.34,0.2240328,16,4,2.02067,p,190.0,140.0,78.971,34
mp-3098,AlCuO2,False,T:4,hexagonal,194,1.8161999999999994,81.97304293240126,-6.50707933625,89.0,188.0,0.31,51.0,294.0,294.0,509.0,39.0,39.0,102.0,10.7701371465215,10.770135853469984,7.267852000000001,7,8,-1.9465863381942075,-1.9465863381942032,-2.2305654573510854,2.8457958219264405,2.8457958219264405,11.263130484000037,0.12347883551501067,0.12347883551501067,0.007882822890896498,90.0,90.0,120.00000000089189,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
