,formula,bec_odd,coord_env,sym,spgnum,Eg,volume,eng/atom,Gvoigt,kvoigt,poisson,cauchy,sxx,syy,szz,sxy,syz,sxz,exx,eyy,ezz,odd_atom,atcharge,zxx,zyy,zzz,a,b,c,a^-2,b^-2,c^-2,alpha,beta,gamma,E_p,E_a,E_g,group,period,E_aff,block,R_vdw,R_at,atmass,atnum
mp-7937,NaNbS2,True,T:6,hexagonal,194,0.6318000000000001,145.6963147765944,-6.13126377625,49.0,76.0,0.24,9.0,159.0,159.0,135.0,38.0,38.0,56.0,,,,7,16,-0.1903884285553474,-0.19038842855534802,-0.7921248214320464,3.375970527393458,3.375970527393458,14.170092651501303,0.08774102568026262,0.08774102568026262,0.004980289861607298,90.0,90.0,119.9999999999073,2.58,15.31,0.23596,16,3,2.07710403,p,180.0,127.0,32.06,16
mp-3481,KSnAs,True,O:6,hexagonal,186,0.34629999999999983,196.15785107210638,-3.6575745133333335,,,,,,,,,,,15.024970829098056,15.024973170899187,12.417968999999998,5,33,-2.55608745417822,-2.5560874541782224,-1.3359991942173255,4.107108850422821,4.107108850422821,12.705007182129787,0.05928264522040265,0.05928264522040265,0.00619512637779079,90.0,90.0,119.99999999951477,2.18,13.08,0.2068208,15,4,0.804,p,185.0,139.0,74.921595,33
mp-3486,KSnSb,True,O:6,hexagonal,186,0.26529999999999987,227.72503910299213,-3.4215078366666667,11.0,29.0,0.35,20.0,53.0,53.0,41.0,5.0,5.0,14.0,16.45310805354101,16.45310494645696,13.757836000000001,5,51,-1.9598019445089547,-1.9598019445089556,-1.2102597535419721,4.367515886814894,4.367515886814894,13.005645438619128,0.05242410359991926,0.05242410359991926,0.005912023884090283,90.0,90.0,120.00000000053085,2.05,11.74,0.19187739999999998,15,5,1.046,p,206.0,159.0,121.76,51
mp-7436,KCuTe,True,TL:3,hexagonal,194,0.6038000000000001,175.97158670598398,-3.3758981416666667,20.0,32.0,0.24,17.0,81.0,81.0,34.0,12.0,12.0,26.0,14.768506079567873,14.768503920418192,6.606136999999997,5,52,-2.3720579087795937,-2.3720579087795928,-1.1157794126202218,4.396571409398399,4.396571409398399,10.00595386991276,0.0517334852140133,0.0517334852140133,0.009988102886308593,90.0,90.0,119.9999999998495,2.1,12.76,0.20569920000000003,16,5,1.9708759999999999,p,206.0,160.0,127.6,52
mp-571306,Ca2Zn2CuP3,True,TT_1:9,hexagonal,194,0.2884000000000002,305.0410600229425,-4.122717084375,,,,,,,,,,,19.121000991079285,19.12099900892081,22.71,15,15,-2.688129337934852,-2.688129337934851,-2.8278526817477863,3.983258078726752,3.983258078726752,21.18129062596444,0.06302648813777408,0.06302648813777408,0.002228923492681854,90.0,90.0,120.0000000000958,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-7438,KZnSb,True,TL:3,hexagonal,194,0.4468000000000001,194.9069009701512,-2.571410965,19.0,27.0,0.21,12.0,77.0,77.0,27.0,10.0,10.0,27.0,41.0571107320622,41.057127267939585,8.158062999999999,5,51,-3.744284899244597,-1.3030804745217177,-3.744284899244594,4.496385141377545,4.496385141377545,10.44309898346717,0.04946215021183481,0.04946215021183481,0.009169406178337135,90.0,90.0,119.99999999985626,2.05,11.74,0.19187739999999998,15,5,1.046,p,206.0,159.0,121.76,51
mp-7437,KZnP,True,TL:3,hexagonal,194,0.8395999999999999,150.2887597029721,-3.052677238333333,29.0,40.0,0.21,13.0,110.0,110.0,47.0,16.0,16.0,41.0,15.660750522577683,15.660747477440449,7.825858,5,15,-1.311594162765752,-3.14474461442834,-3.1447446144283395,4.037612709047951,4.037612709047951,10.05854629696402,0.06134097610323669,0.06134097610323669,0.009883927737980252,90.0,90.0,119.99999999972661,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-9919,LiZnSb,True,SBSA:10,hexagonal,186,0.41859999999999964,124.95633948198672,-2.80171238,27.0,47.0,0.26,17.0,87.0,87.0,93.0,23.0,23.0,23.0,32.51599901675952,32.516000983361494,36.016,5,51,-3.3335215742409217,-3.3335215742409217,-2.834562979459004,4.3921515788110455,4.3921515788110455,7.098487681674038,0.05183765661307926,0.05183765661307926,0.01984578736979186,90.0,90.0,120.0000000003992,2.05,11.74,0.19187739999999998,15,5,1.046,p,206.0,159.0,121.76,51
mp-7939,NaNbSe2,True,T:6,hexagonal,194,0.5134999999999996,167.14370483255053,-5.60587559625,39.0,61.0,0.24,3.0,124.0,124.0,107.0,32.0,32.0,44.0,16.770271521753934,16.770269478251027,9.689356999999998,7,34,0.02803333582703212,0.028033335827037747,-0.7048542589341763,3.5166812711015107,3.5166812711015107,14.906573408871802,0.08086004580227905,0.08086004580227905,0.004500329925607119,90.0,90.0,119.99999999909176,2.55,14.34,0.2240328,16,4,2.02067,p,190.0,140.0,78.971,34
mp-754535,LaAgO2,True,T:4,hexagonal,194,2.8059,159.1805032232244,-6.64138457625,,,,,,,,,,,,,,7,8,-2.2814007728939547,-2.2814007728939574,-2.482736127787484,3.7944464606034463,3.7944464606034463,12.124137547259252,0.06945494013550767,0.06945494013550767,0.00680296584411228,90.0,90.0,120.00000000049198,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-30251,YAuO2,True,T:4,hexagonal,194,2.6861999999999995,136.45624044782755,-7.13753155125,37.0,127.0,0.4,67.0,177.0,177.0,253.0,10.0,10.0,50.0,,,,7,8,-1.9963389470768613,-1.9963389470768598,-2.8451708120191403,3.5340408539845076,3.5340408539845076,11.940606057501283,0.08006761064289589,0.08006761064289589,0.007013701187114975,90.0,90.0,120.00000000054233,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-7940,KNbSe2,True,T:6,hexagonal,194,0.6951999999999998,187.5131882007704,-5.534389505,36.0,57.0,0.24,3.0,108.0,108.0,119.0,32.0,32.0,36.0,15.442996275512815,15.443003724489767,8.848000000000003,7,34,0.05191672312591197,0.05191672312591469,-0.6839246010383235,3.5623506908761065,3.5623506908761065,16.139108980784748,0.07880008000973253,0.07880008000973253,0.003839201367091044,90.0,90.0,119.99999999991473,2.55,14.34,0.2240328,16,4,2.02067,p,190.0,140.0,78.971,34
mp-602,Te2Mo,True,T:6,hexagonal,194,1.0113000000000003,168.31755742196543,-5.986273991666667,22.0,30.0,0.18,22.0,106.0,106.0,2.0,4.0,4.0,40.0,19.636000833075325,19.635999167265123,6.466999999999999,5,42,-3.2473101809664473,-3.2473101809664517,-1.75510897206072,3.5004896632836564,3.5004896632836564,14.00491597590003,0.08160981641776355,0.08160981641776355,0.0050984596298762844,90.0,90.0,120.000000000022,2.16,8.71,0.1312672,6,5,0.748,d,217.0,139.0,95.95,42
mp-7938,KNbS2,True,T:6,hexagonal,194,0.8210000000000006,164.24117708423339,-6.0338825275,45.0,73.0,0.25,10.0,136.0,136.0,156.0,37.0,37.0,44.0,14.279931577460173,14.279930422600037,8.186357,7,16,-0.16763005709781284,-0.16763005709781179,-0.8014954658036565,3.4203971594399563,3.4203971594399563,15.410842386456654,0.08547653837666165,0.08547653837666165,0.0042106315716468334,90.0,90.0,120.00000000036268,2.58,15.31,0.23596,16,3,2.07710403,p,180.0,127.0,32.06,16
mp-7936,LiNbS2,True,T:6,hexagonal,194,0.7321,128.36515829061383,-6.37377198375,58.0,84.0,0.22,6.0,189.0,189.0,132.0,46.0,46.0,69.0,17.03019640006514,17.030193599931145,12.389042,7,16,-0.3041553079298691,-0.30415530792986956,-1.025540020488049,3.331136453484008,3.331136453484008,12.796115418069684,0.09011874889363743,0.09011874889363743,0.006107221938135906,90.0,90.0,120.00000000014361,2.58,15.31,0.23596,16,3,2.07710403,p,180.0,127.0,32.06,16
mp-7421,KZnAs,True,TL:3,hexagonal,194,0.2762,164.5281547671996,-2.8199700666666665,24.0,35.0,0.21,14.0,94.0,94.0,38.0,13.0,13.0,34.0,56.08609555303219,56.08610044696405,8.038707,5,33,-3.703282568610652,-3.703282568610655,-1.2574175618986074,4.1903469595204,4.1903469595204,10.165247201599684,0.056950826631899064,0.056950826631899064,0.009677520750004378,90.0,90.0,119.99999999948598,2.18,13.08,0.2068208,15,4,0.804,p,185.0,139.0,74.921595,33
mp-29529,NaSnP,True,O:6,hexagonal,186,0.6055999999999999,157.0336620530182,-3.882880855,18.0,52.0,0.35,25.0,98.0,98.0,29.0,13.0,13.0,30.0,17.747770245351035,17.74777275464794,13.422795,5,15,-2.9554066194668143,-2.9554066194668134,-1.6233547477720287,3.87235039246994,3.87235039246994,11.63863405363648,0.06668846240320705,0.06668846240320705,0.007382372816857977,90.0,90.0,119.99999999979495,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
